Year,Names,Publisher,Country,Sales
1996,Clock Tower,ASCII Entertainment,jp,0.53
1996,Resident Evil,Virgin Interactive,gb,5.34
1996,Resident Evil Director's Cut,Virgin Interactive,gb,3.81
1996,Mega Man X4,Virgin Interactive,gb,1.11
1996,Tomb Raider,Eidos Interactive,gb,4.63
1996,The Incredible Hulk: The Pantheon Saga,Eidos Interactive,gb,0.16
1996,Machine Head,Eidos Interactive,gb,0.07
1996,Destruction Derby 2,Psygnosis,gb,1.17
1996,Formula 1,Psygnosis,gb,0.76
1996,WipEout XL,Psygnosis,gb,0.25
1996,Pro Pinball,Empire Interactive,gb,0.41
1996,Olympic Summer Games: Atlanta 1996,U.S. Gold,gb,0.1
1996,Olympic Soccer: Atlanta 1996,U.S. Gold,gb,0.05
1996,NASCAR 98,Electronic Arts,us,1.52
1996,Madden NFL 97,Electronic Arts,us,1.32
1996,Soviet Strike,Electronic Arts,us,1.17
1996,Mortal Kombat Trilogy,GT Interactive,us,3.75
1996,Midway Presents Arcade's Greatest Hits: The Atari Collection 1,GT Interactive,us,0.94
1996,Area 51,GT Interactive,us,1.46
1996,Space Jam,Acclaim Entertainment,us,0.92
1996,WWF in Your House,Acclaim Entertainment,us,0.62
1996,Alien Trilogy,Acclaim Entertainment,us,0.47
1996,SimCity 2000,Maxis,us,1.99
1996,Die Hard Trilogy,Fox Interactive,us,1.54
1996,Star Wars: Rebel Assault II - The Hidden Empire,CTO SpA,it,0.88
1996,Reloaded,Gremlin Interactive Ltd,uk,0.17
1996,VR Golf '97,Gremlin Interactive Ltd,uk,0.17
1996,VR Soccer '96,Gremlin Interactive Ltd,uk,0.05
1996,Tunnel B1,Ocean,uk,0.09
1996,True Pinball,Ocean,uk,0.04
1996,Strike Point,Elite,uk,0.07
1996,Alone in the Dark: One-Eyed Jack's Revenge,Infogrames,fr,0.31
1996,Time Commando,Adeline Software,fr,0.17
1996,Street Racer,Ubisoft,fr,0.16
1996,HardBall 5,SPS,ch,0.12
1996,Shippuu Mahou Daisakusen: Kingdom-Grandprix,Gaga,ru,0.02
1997,Gran Turismo,Sony Computer Entertainment,jp,10.95
1997,Final Fantasy VII,Sony Computer Entertainment,jp,9.72
1997,Crash Bandicoot 2: Cortex Strikes Back,Sony Computer Entertainment,jp,7.58
1997,GoldenEye 007,Nintendo,jp,8.09
1997,Diddy Kong Racing,Nintendo,jp,4.88
1997,Star Fox 64,Nintendo,jp,4.03
1997,Final Fantasy Tactics,SquareSoft,jp,2.45
1997,SaGa Frontier,SquareSoft,jp,1.35
1997,Chocobo no Fushigi Dungeon,SquareSoft,jp,1.22
1997,Time Crisis,Namco Bandai Games,jp,1.68
1997,Tales of Destiny,Namco Bandai Games,jp,1.56
1997,Mobile Suit Z-Gundam,Namco Bandai Games,jp,0.36
1997,Castlevania: Symphony of the Night,Konami Digital Entertainment,jp,1.27
1997,International Superstar Soccer 64,Konami Digital Entertainment,jp,0.6
1997,Jikkyou Powerful Pro Yakyuu '97 Kaimakuban,Konami Digital Entertainment,jp,0.59
1997,Tiger Woods 99 PGA Tour Golf,Electronic Arts,us,1.53
1997,Knockout Kings,Electronic Arts,us,1.52
1997,NBA Live 98,Electronic Arts,us,1.51
1997,Frogger,Hasbro Interactive,us,6.36
1997,Jeopardy!,Hasbro Interactive,us,1.88
1997,Oddworld: Abe's Oddysee,GT Interactive,us,1.24
1997,Rampage World Tour,GT Interactive,us,1.3
1997,San Francisco Rush: Extreme Racing,GT Interactive,us,1.13
1997,Turok 2: Seeds of Evil,Acclaim Entertainment,us,1.86
