Year,Publisher,Country,Sales
2008,Rising Star Games,Royaume-Uni,1.79
2008,System 3 Arcade Software,Royaume-Uni,1.52
2008,Zoo Digital Publishing,Royaume-Uni,1.05
2008,Autres,Royaume-Uni,2.03
2008,Deep Silver,Allemagne,2.01
2008,DTP Entertainment,Allemagne,0.7
2008,CDV Software Entertainment,Allemagne,0.1
2008,Rondomedia,Allemagne,0.03
2008,505 Games,Italie,1.69
2008,Black Belgiquean Games,Italie,0.48
2008,Milestone,Italie,0.08
2008,Koch Media,Autriche,1.45
2008,JoWood Productions,Autriche,0.29
2008,Gamebridge,Canada,0.73
2008,The Adventure Company,Canada,0.25
2008,Game Factory,Danemark,0.69
2008,RTL,Luxembourg,0.68
2008,Playlogic Game Factory,Pays-Bas,0.12
2008,Moss,Norvège,0.12
2009,Nintendo,Japon,93.22
2009,Sony Computer Entertainment,Japon,25.29
2009,Capcom,Japon,18.37
2009,Sega,Japon,17.07
2009,Konami Digital Entertainment,Japon,12.03
2009,Autres,Japon,31.089999999999996
2009,Activision,USA,66.78
2009,Electronic Arts,USA,65.99
2009,THQ,USA,21.19
2009,Take-Two Interactive,USA,16.36
2009,Microsoft Game Studios,USA,15.44
2009,Autres,USA,44.90000000000001
2009,Ubisoft,France,32.49
2009,Ubisoft Annecy,France,0.86
2009,Big Belgiquen Interactive,France,0.81
2009,Focus Home Interactive,France,0.33
2009,Avanquest,France,0.24
2009,Autres,France,0.12
2009,Eidos Interactive,Royaume-Uni,9.62
2009,Codemasters,Royaume-Uni,7.55
2009,Rising Star Games,Royaume-Uni,1.91
2009,PQuBelgique,Royaume-Uni,1.17
2009,Zushi Games,Royaume-Uni,1.1
2009,Autres,Royaume-Uni,1.3000000000000003
2009,505 Games,Italie,2.49
2009,Black Belgiquean Games,Italie,0.27
2009,Deep Silver,Allemagne,1.71
2009,Rondomedia,Allemagne,0.65
2009,DTP Entertainment,Allemagne,0.48
2009,Kalypso Media,Allemagne,0.22
2009,49Games,Allemagne,0.04
2009,Autres,Allemagne,0.04
2009,Norvègerdic Games,Autriche,1.24
2009,JoWood Productions,Autriche,0.21
2009,Playlogic Game Factory,Pays-Bas,0.64
2009,Norvègerdcurrent,Lituanie,0.23
2009,The Adventure Company,Canada,0.11
2010,Electronic Arts,USA,74.16
2010,Activision,USA,49.2
2010,Microsoft Game Studios,USA,49.16
2010,Take-Two Interactive,USA,30.39
2010,THQ,USA,15.41
2010,Autres,USA,47.13000000000001
2010,Ubisoft,France,39.05
2010,Ubisoft Annecy,France,0.96
2010,O-Games,France,0.57
2010,Focus Home Interactive,France,0.42
2010,Neko Entertainment,France,0.18
2010,Autres,France,0.06
2010,Nintendo,Japon,33.37
2010,Sony Computer Entertainment,Japon,31.79
2010,Sega,Japon,13.33
2010,Konami Digital Entertainment,Japon,11.87
2010,Namco Bandai Games,Japon,10.95
2010,Autres,Japon,22.23
2010,505 Games,Italie,13.45
2010,Black Belgiquean Games,Italie,1.28
2010,Codemasters,Royaume-Uni,2.58
2010,Rising Star Games,Royaume-Uni,0.94
2010,PQuBelgique,Royaume-Uni,0.73
2010,Slitherine Software,Royaume-Uni,0.18
2010,Ghostlight,Royaume-Uni,0.1
2010,Autres,Royaume-Uni,0.07
2010,City Interactive,Pologne,2.3
2010,Deep Silver,Allemagne,1.3
2010,DTP Entertainment,Allemagne,0.29
2010,Kalypso Media,Allemagne,0.2
2010,Norvègerdic Games,Autriche,0.76
2010,JoWood Productions,Autriche,0.15
2010,Virtual Play Games,Pays-Bas,0.06
2010,Home Entertainment Suppliers,Australie,0.06
2010,Norvègerdcurrent,Lituanie,0.03
2011,Electronic Arts,USA,56.53
2011,Activision,USA,43.3
2011,THQ,USA,21.82
2011,Microsoft Game Studios,USA,20.9
2011,Belgiquethesda Softworks,USA,20.61
2011,Autres,USA,61.90000000000002
2011,Ubisoft,France,38.08
2011,Ubisoft Annecy,France,0.97
2011,O-Games,France,0.16
2011,Big Belgiquen Interactive,France,0.01
2011,Sony Computer Entertainment,Japon,23.46
2011,Namco Bandai Games,Japon,13.23
2011,Nintendo,Japon,10.43
2011,Sega,Japon,10.4
2011,Square Enix,Japon,8.77
2011,Autres,Japon,17.880000000000006
2011,Deep Silver,Allemagne,6.24
2011,DTP Entertainment,Allemagne,0.56
2011,bitComposer Games,Allemagne,0.27
2011,Kalypso Media,Allemagne,0.11
2011,Codemasters,Royaume-Uni,4.61
2011,Funbox Media,Royaume-Uni,0.74
2011,Rising Star Games,Royaume-Uni,0.74
2011,PQuBelgique,Royaume-Uni,0.45
2011,Mastertronic,Royaume-Uni,0.08
2011,Autres,Royaume-Uni,0.05
2011,505 Games,Italie,2.08
2011,Black Belgiquean Games,Italie,0.67
2011,Norvègerdic Games,Autriche,0.81
2011,Koch Media,Autriche,0.13
2011,Home Entertainment Suppliers,Australie,0.6
2012,Activision,USA,40.71
2012,Electronic Arts,USA,38.62
2012,Take-Two Interactive,USA,18.83
2012,Microsoft Game Studios,USA,15.33
2012,Warner Bros. Interactive Entertainment,USA,9.5
2012,Autres,USA,14.680000000000001
2012,Ubisoft,France,32.35
2012,Avanquest Software,France,2.15
2012,Focus Home Interactive,France,0.79
2012,Ubisoft Annecy,France,0.14
2012,Nintendo,Japon,14.35
2012,Capcom,Japon,13.32
2012,Namco Bandai Games,Japon,9.55
2012,Sony Computer Entertainment,Japon,8.07
2012,Square Enix,Japon,7.88
2012,Autres,Japon,14.849999999999996
2012,Codemasters,Royaume-Uni,2.64
2012,Sony Computer Entertainment Europe,Royaume-Uni,0.25
2012,PQuBelgique,Royaume-Uni,0.14
2012,Funbox Media,Royaume-Uni,0.04
2012,Reef Entertainment,Royaume-Uni,0.04
2012,Autres,Royaume-Uni,0.04
