Name,Platform,Year,Publisher,Global_Sales,Total_Sales,Country
Yuu Yuu Hakusho: Makyo Toitsusen,GEN,1994,Sega,0.08,0.08,jp
Dragon Slayer: The Legend of Heroes,MULTI,1994,Sega,0.08,0.15000000000000002,jp
Majin Tensei,SNES,1994,Atlus,0.08,0.08,jp
Gale Racer,SAT,1994,Sega,0.07,0.07,jp
Formula One World Championship: Beyond the Limit,SCD,1994,Sega,0.07,0.07,jp
Derby Jockey: Kishou e no Michi,SNES,1994,Asmik Corp,0.07,0.07,jp
Kenyuu Densetsu Yaiba,SNES,1994,Banpresto,0.07,0.07,jp
Motor Toon Grand Prix (Japan),PS,1994,Sony Computer Entertainment,0.07,0.07,jp
Discworld,PS,1994,Psygnosis,0.06,0.06,uk
Robotica,SAT,1994,Sega,0.06,0.06,jp
Worldwide Soccer,SAT,1994,Sega,0.06,0.06,jp
Record of Lodoss War: Eiyuu Sensou,SCD,1994,Sega,0.06,0.06,jp
Game no Kanzume Vol 2,SCD,1994,Sega,0.05,0.05,jp
Hisshou 777 Fighter: Pachi Slot Eiyu Densetsu,SNES,1994,Vap,0.05,0.05,jp
Golden Axe: The Duel,SAT,1994,Sega,0.05,0.05,jp
Game no Kanzume Vol 1,SCD,1994,Sega,0.05,0.05,jp
Galaxy Fight,SAT,1994,Sunsoft,0.04,0.04,jp
J-League Pro Striker 2,GEN,1994,Sega,0.04,0.04,jp
Castlevania Bloodlines,GEN,1994,Konami Digital Entertainment,0.04,0.04,jp
First Queen: Ornic Senki,SNES,1994,Culture Brain,0.03,0.03,jp
Gaia Saver Hero Saidai no Sakusen,SNES,1994,Banpresto,0.03,0.03,jp
Puzzle & Action: Tant-R,GEN,1994,Sega,0.03,0.03,jp
Kidou Senshi V Gundam,SNES,1994,Namco Bandai Games,0.03,0.03,jp
The Great Battle Gaiden 2: Matsuri da Wasshoi,SNES,1994,Banpresto,0.03,0.03,jp
Bust-A-Move,3DO,1994,Micro Cabin,0.02,0.02,jp
Sugoi Hebereke,SNES,1994,Sunsoft,0.02,0.02,jp
Pebble Beach Golf Links,SAT,1994,Sega,0.02,0.02,jp
World Class Rugby 2: Kokunai Gekitou Hen '93,SNES,1994,Misawa,0.02,0.02,jp
