Name,Platform,Year,Publisher,Global_Sales,Total_Sales,Country
Tank! Tank! Tank!,WiiU,2012,Namco Bandai Games,0.07,0.07,jp
Jissen Pachislot Secrets! Fist of the North Star F - Seikimatsu Kyuuseishu Densetsu,PS3,2012,Sega,0.06,0.06,jp
Top Gun: Hard Lock,MULTI,2012,505 Games,0.06,0.09,it
Choujikuu Yousai Macross: Do You Remember Love,PS3,2012,Namco Bandai Games,0.05,0.05,jp
Nike+ Kinect Training,X360,2012,Microsoft Game Studios,0.05,0.05,us
QUIZ PARTY,Wii,2012,Nintendo,0.05,0.05,jp
E.X. Troopers,PS3,2012,Capcom,0.05,0.05,jp
Test Drive: Ferrari Legends,MULTI,2012,Atari,0.05,0.09,us
White Album 2: Shiawase no Mukougawa,PS3,2012,Aqua Plus,0.04,0.04,jp
Mechanic Escape,PS3,2012,D3Publisher,0.04,0.04,jp
The Cube,Wii,2012,Funbox Media,0.04,0.04,uk
Deadliest Warrior: Ancient Combat,MULTI,2012,Cloud Imperium Games Corporation,0.04,0.08,us
MLB 2K12 / NBA 2K12 Combo Pack,X360,2012,Take-Two Interactive,0.04,0.04,us
The Legend of Heroes: Trails in the Sky First Chapter,PS3,2012,Falcom Corporation,0.04,0.04,jp
Rabbids Land,WiiU,2012,Ubisoft,0.04,0.04,fr
Legasista,PS3,2012,Nippon Ichi Software,0.04,0.04,jp
The Idolmaster: Gravure For You! Vol. 4,PS3,2012,Namco Bandai Games,0.03,0.03,jp
Gekiatsu!! Pachi Game Tamashi Max: Evangelion 7 x Seimei no Kodou,PS3,2012,Fields,0.03,0.03,uk
K-On! After School Live!! HD Ver.,PS3,2012,Sega,0.03,0.03,jp
.hack: Sekai no Mukou ni + Versus,PS3,2012,Namco Bandai Games,0.03,0.03,jp
Accel World: Ginyoku no Kakusei,PS3,2012,Namco Bandai Games,0.03,0.03,jp
The Idolmaster: Gravure For You! Vol. 5,PS3,2012,Namco Bandai Games,0.03,0.03,jp
Trine 2,WiiU,2012,Atlus,0.03,0.03,jp
The IdolM@ster: Gravure For You! Vol. 6,PS3,2012,Namco Bandai Games,0.03,0.03,jp
Eureka Seven AO: Jungfrau no Hanabanatachi,PS3,2012,Namco Bandai Games,0.03,0.03,jp
Captain Morgane and the Golden Turtle,MULTI,2012,Reef Entertainment,0.03,0.04,uk
Touch Shot! Love Application,PS3,2012,Compile Heart,0.03,0.03,jp
Capcom Digital Collection,X360,2012,Capcom,0.03,0.03,jp
The Idolmaster: Gravure For You! Vol.7,PS3,2012,Namco Bandai Games,0.02,0.02,jp
Brave: The Video Game,Wii,2012,Disney Interactive Studios,0.02,0.02,us
The Idolmaster: Gravure For You! Vol.9,PS3,2012,Namco Bandai Games,0.02,0.02,jp
Shinken de Watashi ni Koi Shinasai! R,PS3,2012,Minato Station,0.02,0.02,jp
Gal Gun,PS3,2012,Alchemist,0.02,0.02,jp
Rinne no Lagrange: Kamogawa Days,PS3,2012,Namco Bandai Games,0.02,0.02,jp
The Idolmaster: Gravure For You! Vol.8,PS3,2012,Namco Bandai Games,0.02,0.02,jp
Mushihimesama,X360,2012,Cave,0.02,0.02,jp
Nobunaga no Yabou Online: Houou no Shou,PS3,2012,Ackkstudios,0.01,0.01,us
Pro Angler Moves,PS3,2012,"Interworks Unlimited, Inc.",0.01,0.01,us
Turbo Trainz,Wii,2012,Mastertronic,0.01,0.01,gb
We Sing 80s,Wii,2012,Nordic Games,0.01,0.01,at
Root Double: Before Crime After Days,X360,2012,Yeti,0.01,0.01,jp
Muv-Luv Alternative,PS3,2012,5pb,0.01,0.01,jp
Dragon Ball Z for Kinect,X360,2012,Namco Bandai Games,0.01,0.01,jp
Akatsuki no Goei Trinity,PS3,2012,5pb,0.01,0.01,jp
