Name,Platform,Year,Publisher,Global_Sales,Total_Sales
Sound Novel Machi,SAT,1998,ChunSoft,0.09,0.09
Hello Kitty's Cube Frenzy,PS,1998,Culture Publishers,0.09,0.09
V-Rally Edition 99,N64,1998,Infogrames,0.09,0.09
Golden Nugget 64,N64,1998,Electronic Arts,0.09,0.09
Robotron 64,N64,1998,GT Interactive,0.09,0.09
Invasion From Beyond,PS,1998,GT Interactive,0.09,0.09
Theme Hospital,PS,1998,Electronic Arts,0.09,0.09
Wreckin Crew,PS,1998,Telstar,0.08,0.08
S.C.A.R.S,MULTI,1998,Ubisoft,0.08,0.14
Godzilla Generations,DC,1998,Sega,0.08,0.08
Derby Stallion 98,SNES,1998,ASCII Entertainment,0.08,0.08
Slayers Royal,PS,1998,Kadokawa Shoten,0.08,0.08
R/C Stunt Copter,PS,1998,Interplay,0.08,0.08
Black/Matrix,SAT,1998,NEC Interchannel,0.08,0.08
Knife Edge: NoseGunner,N64,1998,Mitsui,0.08,0.08
Wetrix,N64,1998,Ocean,0.08,0.08
NHL Breakaway 99,N64,1998,Acclaim Entertainment,0.08,0.08
Iggy's Reckin' Balls,N64,1998,Acclaim Entertainment,0.08,0.08
Real Robots Final Attack,PS,1998,Banpresto,0.08,0.08
Auto Destruct,PS,1998,Electronic Arts,0.08,0.08
Deep Fear,SAT,1998,Sega,0.08,0.08
Slayers Royal 2,SAT,1998,Kadokawa Shoten,0.08,0.08
No One Can Stop Mr. Domino!,PS,1998,JVC,0.08,0.08
Dragon Force II: Kamisarishi Daichi ni,SAT,1998,Sega,0.08,0.08
Monkey Hero,PS,1998,Take-Two Interactive,0.08,0.08
Wizardry: Llylgamyn Saga,PS,1998,Locus,0.07,0.07
Uprising X,PS,1998,3DO,0.07,0.07
NOëL: La Neige,PS,1998,Pioneer LDC,0.07,0.07
Roll Away,PS,1998,Sony Computer Entertainment,0.07,0.07
Alexi Lalas International Soccer,PS,1998,Take-Two Interactive,0.07,0.07
Vanguard Bandits,PS,1998,Human Entertainment,0.07,0.07
Blast Radius,PS,1998,Psygnosis,0.07,0.07
Super Robot Spirits,N64,1998,Banpresto,0.07,0.07
Circuit Breakers,PS,1998,Mindscape,0.07,0.07
OverBlood 2,PS,1998,Evolution Games,0.07,0.07
Destrega,PS,1998,Sony Computer Entertainment,0.07,0.07
C: The Contra Adventure,PS,1998,Konami Digital Entertainment,0.07,0.07
Ojyousama Express,MULTI,1998,Media Works,0.06,0.09
July,DC,1998,Fortyfive,0.06,0.06
GunGriffon II,SAT,1998,ESP,0.06,0.06
R-Types,PS,1998,Virgin Interactive,0.06,0.06
Tokimeki no Houkago,PS,1998,Konami Digital Entertainment,0.06,0.06
PenPen TriIceLon,DC,1998,Infogrames,0.06,0.06
Olympic Hockey 98,N64,1998,GT Interactive,0.06,0.06
Virtual Chess 64,N64,1998,Titus,0.06,0.06
Mike Piazza's Strike Zone,N64,1998,GT Interactive,0.06,0.06
Star Soldier: Vanishing Earth,N64,1998,Hudson Entertainment,0.06,0.06
Real Bout Garou Densetsu Special: Dominated Mind,PS,1998,SNK,0.06,0.06
Burning Rangers,SAT,1998,Sega,0.06,0.06
Choro Q Marine: Q Boat,PS,1998,Takara,0.06,0.06
Shining Force III: Scenario 2,SAT,1998,Sega,0.05,0.05
Bottom of the 9th '99,PS,1998,Konami Digital Entertainment,0.05,0.05
Tiny Toon Adventures: Toonenstein - Dare to Scare,PS,1998,Swing! Entertainment,0.05,0.05
Thunder Force V: Perfect System,PS,1998,TechnoSoft,0.05,0.05
Bakusou Kyoudai Let's & Go!! Eternal Wings,PS,1998,Jaleco,0.05,0.05
Chameleon Twist 2,N64,1998,Infogrames,0.05,0.05
Shinseiki Evangelion- Eva: Yukai na Nakama Tachi,PS,1998,Gainax Network Systems,0.05,0.05
Silhouette Mirage,PS,1998,ESP,0.05,0.05
Romance of the Three Kingdoms VI: Awakening of the Dragon,PS,1998,Tecmo Koei,0.05,0.05
Angelique Duet,PS,1998,Tecmo Koei,0.04,0.04
The King of Fighters Kyo,PS,1998,SNK Playmore,0.04,0.04
The Smurfs,PS,1998,Infogrames,0.04,0.04
