Name,Platform,Year,Publisher,Global_Sales,Total_Sales
Uncharted: The Nathan Drake Collection,PS4,2015,Sony Computer Entertainment,4.47,4.47
God of War,PS2,2005,Sony Computer Entertainment,4.45,4.45
Nintendo Land,WiiU,2012,Nintendo,4.44,4.44
Michael Jackson: The Experience,MULTI,2010,Ubisoft,4.42,5.84
Tony Hawk's Pro Skater 3,MULTI,2001,Activision,4.41,7.53
Winning Eleven: Pro Evolution Soccer 2007,MULTI,2006,Konami Digital Entertainment,4.39,4.489999999999999
The Elder Scrolls IV: Oblivion,MULTI,2006,Take-Two Interactive,4.39,7.51
Zelda II: The Adventure of Link,NES,1987,Nintendo,4.38,4.38
Need for Speed: Most Wanted,MULTI,2005,Electronic Arts,4.37,12.01
Resistance: Fall of Man,PS3,2006,Sony Computer Entertainment,4.35,4.35
Sonic the Hedgehog,MULTI,1991,Sega,4.34,7.05
Kingdom Hearts II,MULTI,2005,Square Enix,4.33,5.65
Asteroids,MULTI,1980,Atari,4.31,5.459999999999999
Fable II,X360,2008,Microsoft Game Studios,4.31,4.31
Halo 5: Guardians,XOne,2015,Microsoft Game Studios,4.26,4.26
Super Mario 3D World,WiiU,2013,Nintendo,4.25,4.25
Batman: Arkham Asylum,MULTI,2009,Eidos Interactive,4.25,7.75
Assassin's Creed: Revelations,MULTI,2011,Ubisoft,4.24,8.43
Metal Gear Solid 3: Snake Eater,PS2,2004,Konami Digital Entertainment,4.23,4.23
FIFA Soccer 06,MULTI,2005,Electronic Arts,4.21,4.89
EyeToy Play,PS2,2003,Sony Computer Entertainment,4.2,4.2
Uncharted 4: A Thief's End,PS4,2016,Sony Computer Entertainment,4.2,4.2
Gran Turismo 5 Prologue,PS3,2007,Sony Computer Entertainment,4.2,4.2
Street Fighter IV,MULTI,2009,Capcom,4.19,7.140000000000001
Teenage Mutant Ninja Turtles,MULTI,1989,Palcom,4.17,5.74
Excitebike,NES,1984,Nintendo,4.16,4.16
Frogger,MULTI,1997,Hasbro Interactive,4.16,6.36
Madden NFL 2003,MULTI,2002,Electronic Arts,4.14,5.279999999999999
Watch Dogs,MULTI,2014,Ubisoft,4.14,9.04
Super Mario World 2: Yoshi's Island,SNES,1995,Nintendo,4.12,4.12
FIFA Soccer 07,MULTI,2006,Electronic Arts,4.11,5.11
The Legend of Zelda: Skyward Sword,Wii,2011,Nintendo,4.1,4.1
Street Fighter II Turbo,SNES,1992,Capcom,4.1,4.1
Carnival Games,Wii,2007,Take-Two Interactive,4.1,4.1
Fallout: New Vegas,MULTI,2010,Bethesda Softworks,4.08,7.25
God of War II,PS2,2007,Sony Computer Entertainment,4.07,4.07
Forza Motorsport 2,X360,2007,Microsoft Game Studios,4.06,4.06
World Soccer Winning Eleven 9,MULTI,2005,Konami Digital Entertainment,4.06,4.5
Namco Museum Vol.3,PS,1996,Sony Computer Entertainment,4.05,4.05
Tekken Tag Tournament,PS2,2000,Namco Bandai Games,4.05,4.05
Far Cry 4,MULTI,2014,Ubisoft,4.03,8.06
Star Fox 64,N64,1997,Nintendo,4.03,4.03
Golf,NES,1984,Nintendo,4.01,4.01
Left 4 Dead 2,X360,2009,Electronic Arts,3.99,3.99
Namco Museum: 50th Anniversary,MULTI,2005,Namco Bandai Games,3.98,4.37
EA Sports Active,Wii,2009,Electronic Arts,3.92,3.92
Assassin's Creed: Unity,MULTI,2014,Ubisoft,3.92,7.38
Tony Hawk's Underground,MULTI,2003,Activision,3.9,5.87
Assassin's Creed IV: Black Flag,MULTI,2013,Ubisoft,3.89,12.47
MotorStorm,PS3,2006,Sony Computer Entertainment,3.88,3.88
Tekken 5,PS2,2005,Namco Bandai Games,3.87,3.87
